,maximum,minimum
23DHMPO,999.966212,-1000.0
26DAPLLATi,0.0,0.0
2AHBUTI,1000.0,-999.966212
2DHPL,0.0,0.0
2DMMQ8abc,0.004127,0.004127
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,0.043219,0.043219
2OBUTt2r,1.0,1.0
34DHOXPEGOX,0.0,0.0
3HAD10M12,0.043219,0.043219
3HAD11M12,0.043219,0.043219
3HAD12M14,0.043219,0.043219
3HAD13M14,0.043219,0.043219
3HAD14M16,0.043219,0.043219
3HAD15M16,0.043219,0.043219
3HAD4M6,0.043219,0.043219
3HAD5M6,0.043219,0.043219
3HAD6M8,0.043219,0.043219
3HAD7M8,0.043219,0.043219
3HAD8M10,0.043219,0.043219
3HAD9M10,0.043219,0.043219
3HLYTCL,0.0,0.0
3MOBS,-0.073828,-0.073828
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,0.043219,0.043219
3OAR11M12,0.043219,0.043219
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,0.043219,0.043219
3OAR13M14,0.043219,0.043219
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,0.043219,0.043219
3OAR15M16,0.043219,0.043219
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,0.043219,0.043219
3OAR5M6,0.043219,0.043219
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,0.043219,0.043219
3OAR7M8,0.043219,0.043219
3OAR80,0.0,0.0
3OAR8M10,0.043219,0.043219
3OAR8M9,0.0,0.0
3OAR9M10,0.043219,0.043219
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,0.043219,0.043219
3OAS11M12,0.043219,0.043219
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,0.043219,0.043219
3OAS13M14,0.043219,0.043219
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,0.043219,0.043219
3OAS4M3O6,0.043219,0.043219
3OAS4M5,0.0,0.0
3OAS4M6,0.043219,0.043219
3OAS5M6,0.043219,0.043219
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,0.043219,0.043219
3OAS7M8,0.043219,0.043219
3OAS80,0.0,0.0
3OAS8M10,0.043219,0.043219
3OAS8M9,0.0,0.0
3OAS9M10,0.043219,0.043219
4HBZt2,0.0,0.0
4HTHRS,0.0,0.0
5AIZCDC,6.250843,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,0.0,0.0
6PGALSZ,0.074493,-999.925507
6PGALSZ2i,1000.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACOAT,0.0,0.0
AACPS6,1000.0,0.0
AACPS7,0.0,0.0
AB6PGH,0.0,0.0
AB6PGH2,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACALD,32.803121,-5.741197
ACALDt,1.0,1.0
ACBIPGT,0.004127,0.004127
ACCOAC,1000.0,0.0
ACCOACL,1000.0,0.0
ACCOALYS2,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMK,0.0,0.0
ACGAMPM,0.103269,-6.147574
ACGAMT,0.002816,0.002816
ACGApts,1.0,1.0
ACGK,0.083589,0.0
ACGS,0.0,0.0
ACHBPL,0.033788,0.033788
ACKr,-10.54619,-1000.0
ACLDC,1.562711,0.0
ACLS_a,1.650279,0.087568
ACLS_b,-0.05378,-1.616491
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.021609,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.021609,0.021609
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.021609,0.021609
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACONT,1000.0,-1000.0
ACONTa,1000.0,-1000.0
ACONTb,1000.0,-1000.0
ACOTA,0.0,-0.083589
ACPS1,0.004127,0.004127
ACTD,-0.0,0.0
ACTNDH,1.562711,-0.0
ACTNdiff,0.0,-0.0
ACtr,-17.357748,-33.123905
ADA,-0.0,0.0
ADAD,6.255994,-999.0
ADCS,-0.0,0.0
ADEt2r,-0.948537,-1.948537
ADK1,1000.0,-1000.0
ADK10,999.991181,-1000.0
ADK11,1000.0,-1000.0
ADK2,6.25497,-6.246716
ADK3,999.973832,-1000.0
ADK5,1000.0,-997.502661
ADK7,1000.0,-1000.0
ADK8,1000.0,-1000.0
ADK9,1000.0,-1000.0
ADNCYC,0.0,0.0
ADNK1,6.250843,0.0
ADOCBIK,0.004127,0.004127
ADOCBLS,0.004127,0.004127
ADPRDP,2.296086,0.0
ADPT,6.250843,0.0
ADSL1r,1.0,-0.0
ADSL2r,-0.0,0.0
ADSS,1.0,0.0
AGDC,7.147574,0.896731
AGMD,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.021609,0.0
AGPAT181,0.0,0.0
AGPR,0.0,-0.083589
AHCYSNS_r,-0.0,0.0
AHSERL2,1000.0,0.0
AHSERL3,4.472564,-1000.0
AICART,-0.0,0.0
AIHDUDPMG,0.003755,0.003755
AIHDUPDG,0.003755,0.003755
AIHPDCOATA,0.043219,0.043219
AIPDCOATA,0.0,0.0
AIRC4,6.250843,0.0
ALAALA,0.000939,0.000939
ALAASP1c,0.0,-0.0
ALAASPabc,0.0,-0.0
ALACI,1000.0,-999.94622
ALAGLN1c,0.0,0.0
ALAGLNabc,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLUabc,0.0,0.0
ALAGLY1c,0.0,0.0
ALAGLYabc,0.0,0.0
ALAHIS1c,0.0,0.0
ALAHISabc,0.0,0.0
ALALEU1c,0.0,0.0
ALALEUabc,0.0,0.0
ALAPGPL,0.000939,0.000939
ALAR,0.111718,0.111718
ALATHR1c,0.0,-0.0
ALATHRabc,0.0,-0.0
ALAt2r,0.251734,0.251734
ALCD19,-1.813046,-1.813046
ALCD2x,-2.201701,-9.730894
AMALT1,-0.0,0.0
AMALT2,0.331832,0.0
AMALT3,0.331832,0.0
AMALT4,0.331832,0.0
AMAOTr,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,0.0
AMID5,0.0,0.0
AMPTASECG,1.0,1.0
AMPTASEGC,0.0,0.0
AMY1e,0.257339,0.257339
ANPRT,0.028327,0.028327
ANS,0.028327,0.0
ANS2,0.028327,0.0
APAT,0.0,0.0
ARAI,0.0,0.0
ARBTpts,0.0,0.0
ARBabc,0.0,0.0
ARGSL,0.100529,-0.049471
ARGSSr,0.100529,-0.049471
ARGt2,0.15,0.0
ARSENBabc,0.0,0.0
ASAD,-1.365788,-5.190478
ASCBPL,0.0,0.0
ASNt2r,0.225,0.225
ASPCT,-0.0,0.0
ASPKi,5.190478,1.365788
ASPT,-0.0,0.0
ASPTA,-2.17052,-5.370942
ASPt2r,0.225,0.225
ATPPRT,0.0,0.0
ATPS4,2.083614,0.0
BGLA,500.0,0.0
BGLA1,0.074493,0.074493
BGLAr,0.0,-500.0
BPNT,0.004127,0.004127
BTDD_RR,0.0,0.0
BTNCLi,1000.0,0.0
BTNabc,0.0,0.0
BUTSO3abc,0.0,0.0
BZAMAH,0.0,0.0
CAt4i,0.004127,0.004127
CBIAT,0.004127,0.004127
CBMKr,0.100529,-6.150314
CBPS,6.250843,0.0
CDPEAS,0.0,0.0
CDPGLYCGPT,0.002816,0.002816
CDPMEK,0.010327,0.010327
CELBpts,0.074493,0.074493
CGLYabc,1.0,1.0
CHLabc,0.0,0.0
CHOLD,0.0,0.0
CHOLK,0.0,0.0
CHOLabc,0.0,0.0
CHORM,-0.0,0.0
CHORS,0.028327,0.028327
CITL,6.250843,0.0
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.004464,0.004464
CLPNSAI15,0.0,0.0
CLPNSAI17,0.004464,0.004464
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.004464,0.004464
CMLDC,0.0,0.0
CO2t,0.0,0.0
COBALTt5,-0.004127,-0.004127
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CRNabc,0.0,0.0
CSNt6,-3.966598,-3.966598
CTBTabc,0.0,0.0
CTPS1,9.23102,0.0
CTPS2,9.23102,0.0
CYSDS,9.287577,0.0
CYSS,1000.0,0.0
CYSS3r,4.164782,-1000.0
CYSTGL,1000.0,0.0
CYSTL,9.287577,0.0
CYSTS,8.329563,0.0
CYSabc,1.0,0.0
CYTBD,0.0,0.0
CYTD,3.125421,0.0
CYTDK1,6.250843,0.0
CYTDK2,6.250843,0.0
CYTDK3,6.250843,0.0
CYTDK4,6.250843,0.0
CYTDt2r,1.0,1.0
CYTK1,-2.497339,-5.631015
CYTK2,6.255994,-6.245692
Cuabc,3.129549,0.004127
Cut1,3.125421,0.0
DACTt3,-0.0,0.0
DADA,-0.0,0.0
DADNt2r,1.0,1.0
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,6.250843,0.0
DAGK181,0.0,0.0
DAPDAi,0.0,0.0
DAPDC,0.999061,0.999061
DAPE,0.0,0.0
DAPabc,1.0,1.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,0.017854,0.017854
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.017854,0.017854
DASYNI14,0.0,0.0
