,maximum,minimum
10FTHF5GLUtl,0.327585,0.0
10FTHF5GLUtm,0.327585,0.0
10FTHF6GLUtl,0.262068,0.0
10FTHF6GLUtm,0.262068,0.0
10FTHF7GLUtl,0.21839,0.0
10FTHF7GLUtm,0.21839,0.0
10FTHFtl,0.0,-0.327585
10FTHFtm,0.327585,-0.252429
13DAMPPOX,0.0,0.0
1MNCAMti,0.0,0.0
1a_COMMA_24_COMMA_25VITD2Hm,0.0,0.0
1a_COMMA_24_COMMA_25VITD3Hm,0.0,0.0
1a_COMMA_25VITD2Hm,0.0,0.0
1a_COMMA_25VITD3Hm,0.0,0.0
24NPHte,0.0,0.0
24_COMMA_25DHVITD2t,0.0,0.0
24_COMMA_25DHVITD2tm,0.0,0.0
24_COMMA_25DHVITD3t,0.019021,0.0
24_COMMA_25DHVITD3tm,0.019021,0.0
24_COMMA_25VITD2Hm,0.0,0.0
24_COMMA_25VITD3Hm,0.019021,0.0
25HVITD2t,1000.0,0.0
25HVITD2tin,1000.0,0.0
25HVITD2tin_DASH_m,1000.0,0.0
25HVITD2tm,1000.0,0.0
25HVITD3t,1000.0,0.0
25HVITD3tin,1000.0,0.0
25HVITD3tin_DASH_m,1000.0,0.0
25HVITD3tm,1000.0,0.0
25VITD2Hm,0.0,0.0
25VITD3Hm,0.0,0.0
2DR1PP,0.274455,0.0
2HBO,0.0,-0.010645
2HBt2,0.0,-0.010645
2HCO3_NAt,1000.0,-1000.0
2MCITt,0.010645,0.0
2OXOADOXm,0.0,0.0
2OXOADPTm,0.0,0.0
34DHPHAMT,0.0,0.0
34DHPLACOX,1000.0,0.0
34DHPLACOX_LPAREN_NADP_RPAREN_,0.0,-1000.0
34HPLFM,0.0,0.0
35CGMPtn,0.545976,0.0
3AIBTm,0.002921,0.0
3AIBt,0.002921,0.0
3AIBtm,0.002921,0.0
3DPHBH1,0.0,0.0
3DPHBH2,0.0,0.0
3DSPHR,0.170927,0.0
3HAO,0.0,0.0
3HBCDm,0.0,0.0
3HBCOAHLm,0.002921,0.0
3HCO3_NAt,1000.0,-1000.0
3HLYTCL,0.0,0.0
3HPCOAHYD,0.0,0.0
3HXKYNDCL,0.0,0.0
3HXKYNOXDA,0.0,0.0
3M4HDXPAC,0.0,-0.0
3MLDAt,0.008582,0.0
3MOBt2im,1000.0,0.0
3MOPt2im,1000.0,0.0
3MOX4HOXPGALDOX,1000.0,0.0
3MOX4HOXPGALDOX_LPAREN_NADP_RPAREN_,0.0,-1000.0
3MOXTYROX,0.0,0.0
3NTD7l,0.0,0.0
3SALAASPm,0.0,0.0
3SALATAi,0.0,0.0
3SALATAim,0.0,0.0
41R1H2MAE12BOOX,0.0,0.0
41R2A1H12BOOX,-0.0,0.0
42A12BOOX,0.0,0.0
4ABUTtm,0.241141,0.0
4HBZCOAFm,0.0,0.0
4HBZFm,0.0,0.0
4HDEBRISOQUINEte,0.0,0.0
4HGLSDm,0.0,0.0
4HOXPACDOX_LPAREN_NADP_RPAREN_,0.0,0.0
4MOPt2im,1000.0,0.0
4MPTNLte,0.0,0.0
4MPTNLtm,0.0,0.0
4MPTNLtr,0.0,0.0
4NPHSFte,0.0,0.0
4NPHSULT,0.0,0.0
4NPHte,0.0,0.0
4PYRDX,0.0,0.0
5ADTSTSTERONEGLCte,0.0,0.0
5ADTSTSTERONEGLCtr,0.0,0.0
5ADTSTSTERONEte,0.0,0.0
5ADTSTSTERONEtr,0.0,0.0
5DHFtl,0.327585,0.0
5FTHFt2,0.0,-0.0
5HLTDL,0.008697,0.0
5HOXINDACTO2OX,0.0,0.0
5HOXINDACTOX,0.0,0.0
5HOXINDACTOXm,0.0,0.0
5HOXINOXDA,0.0,0.0
5HTRPDOX,0.0,0.0
5HTRPVESSEC,0.002899,0.0
5HXKYNDCL,0.0,0.0
5HXKYNOXDA,0.0,0.0
5MTHFt,1000.0,0.0
5MTHFt2,0.0,-1000.0
5THFtl,0.327585,0.0
5THFtm,0.327585,0.0
