,maximum,minimum
12DAG3Ps_PA,0.167015,0.167015
13DAMPPOX,-0.0,0.0
1HPHEs,0.0,0.0
1PYRRD,-0.0,0.0
24DAB4AT,0.0,0.0
25DOPs,-0.0,0.0
2AEPPNAT,0.0,0.0
2DGLCNDH,0.0,0.0
2DGLCNRy2i,0.0,0.0
2DHGLCNti,0.0,0.0
2HDDACPs,0.006274,0.0
2HMYRSACPs,0.0,0.0
2MBDT,-0.0,0.0
2NPDO,0.0,0.0
3ABUTabc,0.0,0.0
3AMPADH,-0.0,0.0
3DMUBQ9MT,0.0,0.0
3H3H,0.0,0.0
3HBUTDH,0.0,0.0
3MBT,-0.0,0.0
3OCHLA,0.0,0.0
3OXACOA,-0.0,0.0
4ABUTNC,-0.0,0.0
4AHD,0.0,0.0
4AHD2,-0.0,0.0
4HBZt,0.0,-0.0
4HPHAC3MO,0.0,0.0
4HTHRS,-0.0,0.0
5CM2HMSDH,0.0,0.0
5MPCAs,0.0,0.0
5MTAti,-0.0,0.0
A5PISO,0.012548,0.012548
ABTA,-0.0,0.0
ABTNabc,-0.0,0.0
ABUTD,-0.0,0.0
ACAC,-0.0,0.0
ACACT1,1000.0,0.0
ACACT10rr,-0.0,0.0
ACACT1r,-0.0,-1000.0
ACCOACr,1.434968,1.434968
ACGK,0.398141,0.241276
ACGS,-0.0,0.0
ACHBS,0.206166,0.206166
ACKr,30.553685,30.412548
ACLS,0.620036,0.620036
ACMAT1,-0.0,0.0
ACOAD1,-0.0,0.0
ACOAD10,-0.0,-0.0
ACOAD20,-0.0,0.0
ACOAD8,-0.0,0.0
ACODA,-0.0,0.0
ACONT,20.219053,20.219053
ACOTA,-0.241276,-0.398141
ACPS1,0.0,0.0
ACS,-0.0,0.0
ACt6,30.4,30.4
ADA,-0.0,0.0
ADCL,0.037349,0.037349
ADCOBASr,0.0,0.0
ADCOBHEXS,0.0,0.0
ADCS,0.037349,0.037349
ADD,0.005228,0.0
ADICs,-0.0,0.0
ADK1,1000.0,-997.721525
ADK3,999.420621,-998.300904
ADK4,0.0,0.0
ADMDC,0.005228,0.005228
ADNCYC,0.0,0.0
ADNK1,-0.0,0.0
ADPT,0.005228,0.0
ADSK,0.174088,0.174088
ADSL1r,0.221497,0.216268
ADSL2r,0.357036,0.357036
