,maximum,minimum
12DAG3Ps_PA,2.303634,2.303634
13DAMPPOX,0.0,0.0
1HPHEs,0.0,0.0
1PYRRD,-0.0,0.0
24DAB4AT,0.0,0.0
25DOPs,0.0,0.0
2AEPPNAT,0.0,0.0
2DGLCNDH,0.0,0.0
2DGLCNRy2i,0.0,0.0
2DHGLCNti,0.0,0.0
2HDDACPs,0.086538,0.0
2HMYRSACPs,0.0,0.0
2MBDT,0.0,0.0
2NPDO,0.0,0.0
3ABUTabc,0.0,0.0
3AMPADH,0.0,0.0
3DMUBQ9MT,0.0,0.0
3H3H,0.0,0.0
3HBUTDH,0.0,0.0
3MBT,0.0,0.0
3OCHLA,0.0,0.0
3OXACOA,0.0,0.0
4ABUTNC,-0.0,0.0
4AHD,0.0,0.0
4AHD2,1.349698,0.0
4HBZt,0.0,-0.0
4HPHAC3MO,0.0,0.0
4HTHRS,0.0,0.0
5CM2HMSDH,0.0,0.0
5MPCAs,0.0,0.0
5MTAti,0.0,0.0
A5PISO,0.173077,0.173077
ABTA,0.0,0.0
ABTNabc,0.0,0.0
ABUTD,0.0,0.0
ACAC,0.0,0.0
ACACT1,1000.0,0.0
ACACT10rr,0.0,0.0
ACACT1r,0.0,-1000.0
ACCOACr,19.792472,19.792472
ACGK,5.491544,3.327907
ACGS,-0.0,0.0
ACHBS,2.843648,2.843648
ACKr,602.363801,410.268527
ACLS,8.552134,8.552134
ACMAT1,-0.0,0.0
ACOAD1,-0.0,0.0
ACOAD10,0.0,-1000.0
ACOAD20,500.0,0.0
ACOAD8,0.0,0.0
ACODA,0.0,0.0
ACONT,459.818498,269.669919
ACOTA,-3.327907,-5.491544
ACPS1,0.0,0.0
ACS,0.0,0.0
ACt6,600.24403,410.09545
ADA,0.0,0.0
ADCL,0.515154,0.515154
ADCOBASr,0.0,0.0
ADCOBHEXS,0.0,0.0
ADCS,0.515154,0.515154
ADD,0.072115,0.0
ADICs,0.0,0.0
ADK1,1000.0,-968.573062
ADK3,992.008642,-976.56442
ADK4,0.0,0.0
ADMDC,0.072115,0.072115
ADNCYC,0.0,0.0
ADNK1,-0.0,0.0
ADPT,0.072115,0.0
ADSK,2.401195,2.401195
ADSL1r,3.055096,2.982981
ADSL2r,4.924586,4.924586
ADSS_i,3.055096,2.982981
AGDC,0.0,0.0
AGMHE,0.173077,0.173077
AGMT,-0.0,0.0
AGMTNDMN,0.432714,0.432714
AGPR,-3.327907,-5.491544
AHAI,8.552134,8.552134
AHC,-0.0,-0.0
AHMMPS,0.0,0.0
AHSERL,0.0,0.0
AICART,5.851861,5.851861
AIRC1,-0.0,0.0
AIRC3,0.0,0.0
AIRCr,4.924586,4.924586
AKGD,335.544559,145.39598
AKGt2,1000.0,0.0
AKGt6,0.0,-1000.0
AKP1,0.515154,0.515154
ALAALA,0.284363,0.284363
ALAR,994.601198,-999.431275
ALARi,1000.0,0.0
ALATA_G2,697.211447,0.0
ALATA_L,-5.967527,-1000.0
ALATA_L2,697.211447,0.0
ALATRS,0.0,0.0
ALA_Dt6,0.0,-0.0
ALAabc,-0.0,0.0
ALAt7,0.0,-0.0
ALCD19,0.0,0.0
ALCDUBQ8,0.0,-0.0
ALDD1x,0.0,0.0
ALDD2x,-0.0,0.0
ALGD,-0.0,0.0
ALGE,-0.0,0.0
ALGLi,-0.0,0.0
ALGNA,-0.0,0.0
ALGNE,-0.0,0.0
ALLTAH,-0.0,0.0
ALLTN,-0.0,0.0
ALLTNt6,0.0,-0.0
AMAA,0.0,0.0
AMAOT,0.0,0.0
AMMQT8_2,0.0,0.0
AMPN,-0.0,0.0
ANO2i,0.0,0.0
ANPRT,0.556363,0.556363
ANS1,0.556363,0.556363
AOXS,0.0,0.0
AP4AHr,0.0,0.0
APRAUR,0.000507,0.000507
ARGAGMt,0.0,0.0
ARGDC,0.432714,0.432714
ARGDE,-0.793313,-0.865428
ARGN,-0.0,0.0
ARGORNt3,0.0,0.0
ARGSL,2.534594,2.462479
ARGSS,2.534594,2.462479
