,maximum,minimum
12DAG3Ps_PA,6.751502,6.751502
1HPHEs,0.0,0.0
1PYRRD,0.0,0.0
25DOPs,0.0,0.0
2MBDT,0.0,0.0
3AMPADH,0.0,0.0
3H3H,0.0,0.0
3MBT,0.0,0.0
3OCHLA,0.0,0.0
3OXACOA,89.293536,89.293536
3OXDD_deg,0.0,0.0
4AHD2,1000.0,0.0
5MPCAs,0.0,0.0
5mthf_to_biomass,0.0,0.0
A5PISO,1000.0,0.855283
ABTA,0.0,0.0
ABUTD,0.0,0.0
ACAC,0.0,0.0
ACACT1,0.0,0.0
ACACT10rr,1000.0,0.0
ACCOACr,1000.0,113.786607
ACGK,26.978091,26.978091
ACGS,0.0,0.0
ACHBS,0.0,0.0
ACKr,1000.0,0.0
ACLS,0.0,0.0
ACMAT1,0.0,0.0
ACOAD10,1000.0,0.0
ACOAD20,500.0,0.0
ACOAD8,0.0,0.0
ACODA,0.0,0.0
ACONT,1000.0,0.0
ACOTA,973.021909,0.0
ACS,0.0,0.0
ADA,0.0,0.0
ADCL,3.335604,3.335604
ADCS,3.335604,3.335604
ADD,9.530297,9.530297
ADICs,0.0,0.0
ADK1,1000.0,0.0
ADK3,1000.0,0.0
ADMDC,1000.0,9.530297
ADNK1,0.0,0.0
ADPT,0.0,0.0
ADSK,0.0,0.0
ADSL1r,1000.0,47.607226
ADSL2r,1000.0,47.839199
ADSS_i,47.607226,47.607226
AGMHE,0.855283,0.855283
AGMT,26.208317,0.0
AGMTNDMN,0.0,0.0
AGPR,973.021909,0.0
AHAI,0.0,0.0
AHC,1000.0,0.0
AHMMPS,0.0,-0.0
AICART,1000.0,47.839199
AIRC1,0.0,0.0
AIRCr,1000.0,47.839199
AKGD,492.773834,444.934635
AKP1,3.335604,3.335604
ALAALA,1000.0,1.667802
ALAR,1000.0,3.335604
ALATA_G2,890.175479,0.0
ALATA_L,1000.0,0.0
ALATA_L2,890.175479,0.0
ALCDNAD,1000.0,0.0
ALCDUBQ8,1000.0,0.0
ALDD2x,1000.0,0.0
ALDDpqq,1000.0,0.0
ALGD,1000.0,0.0
ALGLi,0.0,0.0
ALGNA,0.0,0.0
ALGNE,0.0,0.0
ALLTAH,0.0,0.0
AMPN,0.0,0.0
ANPRT,0.0,0.0
ANS1,0.0,0.0
ANTDOX,89.293536,89.293536
APRAUR,2.470818,2.470818
ARGDC,26.208317,0.0
ARGDE,1000.0,0.0
ARGN,852.027081,676.125679
ARGPYRtransa,0.0,0.0
ARGSL,1000.0,0.0
ARGSS,0.0,0.0
ARGSUCtrans,0.0,0.0
ASAD,998.332198,0.0
ASNN,0.0,0.0
ASNS1,0.627309,0.627309
ASP1DC,8.745774,8.745774
ASPCT,10.735963,10.735963
ASPK,1000.0,1.667802
ASPO6,12.707063,0.0
ASPO8,12.707063,0.0
ASPT,1000.0,0.0
ASPTA1,1000.0,0.0
ATPPRT,1000.0,0.0
BALAAT,1000.0,0.0
BPNT,0.0,0.0
BTMAT1,16.068852,16.068852
Biomass_formation,1.757135,1.757135
CAT,451.441271,0.0
CATA,89.293536,89.293536
CATB,910.706464,0.0
CATC,1000.0,89.293536
CBMK2,1000.0,0.0
CBMLPTAH,0.0,0.0
CBPS,0.0,0.0
CDGPTr_PA,1000.0,2.523962
CDPDSPr_PA,1000.0,3.364734
CHORM,0.0,0.0
CHORS,3.335604,3.335604
CHRPL,0.0,-0.0
CLPNS2_PA,1000.0,0.0
CLPNS_PA,0.862805,0.862805
