,maximum,minimum
34DHOXPEGOX,0.0,0.0
34HPPOR,3.3e-05,3.3e-05
3HAD100,0.026246,0.026245
3HAD120,0.024861,0.024861
3HAD121,0.001384,0.001384
3HAD140,0.018489,0.018488
3HAD141,0.001384,0.001384
3HAD160,0.018489,0.018488
3HAD161,0.001384,0.001384
3HAD180,0.008008,0.008008
3HAD181,0.000602,0.000602
3HAD40,0.026246,0.026245
3HAD60,0.026246,0.026245
3HAD80,0.026246,0.026245
3OAR100,0.026246,0.026245
3OAR120,0.024861,0.024861
3OAR121,0.001384,0.001384
3OAR140,0.024861,0.024861
3OAR141,0.001384,0.001384
3OAR160,0.018489,0.018488
3OAR161,0.001384,0.001384
3OAR180,0.008008,0.008008
3OAR181,0.000602,0.000602
3OAR40,0.026246,0.026245
3OAR60,0.026246,0.026245
3OAR80,0.026246,0.026245
3OAS100,0.026246,0.026245
3OAS120,0.024861,0.024861
3OAS121,0.001384,0.001384
3OAS140,0.024861,0.024861
3OAS141,0.001384,0.001384
3OAS160,0.018489,0.018488
3OAS161,0.001384,0.001384
3OAS180,0.008008,0.008008
3OAS181,0.000602,0.000602
3OAS60,0.026246,0.026245
3OAS80,0.026246,0.026245
AACOAR_syn,-2e-06,0.0
ABTA,0.445876,0.446001
ABUTD,0.0,0.0
ACACT1r,-2e-06,0.0
ACBIPGT,1.4e-05,1.4e-05
ACCOAC,0.185959,0.185958
ACGK,0.03205,0.017175
ACGS,0.0,0.0
ACHBS,0.018243,0.018243
ACKr,0.012286,0.012286
ACLS,0.052779,0.052779
ACOATA,0.026246,0.0
ACONT,0.524653,0.524778
ACOTA,-0.017175,-0.017175
ACP1_FMN,-3.9e-05,0.0
ACS,0.0,0.0
ACt2rpp,0.0,6e-06
ACtex,0.0,6e-06
ADCL,5.6e-05,5.6e-05
ADCPS1,0.0,0.0
ADCPS2,1.4e-05,1.4e-05
ADCS,5.6e-05,5.6e-05
ADCYRS,1.4e-05,1.4e-05
ADK1,0.132275,0.132315
ADMDC,0.000426,0.000426
ADNCYC,0.0,0.0
ADOCBLS,1.4e-05,1.4e-05
ADPRDP,-1e-05,0.0
ADPT,0.002016,0.002016
ADPT2,0.0,0.0
ADSK,0.011742,0.011743
ADSL1r,0.015894,0.015894
ADSL2r,0.020464,0.020464
ADSS,0.015894,0.015894
AGMT,0.002527,0.002527
AGPAT160,0.00524,0.00524
AGPAT161,0.000391,0.000391
AGPAT180,7.8e-05,7.8e-05
AGPAT181,0.000301,0.000301
AGPAT181_9,0.000301,0.000301
AGPAT182_9_12,0.001787,0.001787
AGPAT183_6_9_12,0.001653,0.001653
AGPAT183_9_12_15,0.000118,0.000118
AGPAT184_6_9_12_15,6.7e-05,6.7e-05
AGPR,-0.017175,-0.03205
AGTi,0.14624,0.146257
AHCi,0.001587,0.00159
AHMMPS,0.0,0.0
AHSERL2,0.006141,0.006141
AICART,0.025872,0.025873
AIRCr,0.020464,0.020464
AKGt2rpp,0.0,0.0
AKGtex,0.0,0.0
ALAALAr,0.001593,0.001593
ALAD_L,-0.175712,-0.175693
ALAR,0.003186,0.003186
ALATRS,0.0,0.0
ALAabcpp,0.0,0.0
ALAtex,0.0,0.0
ALCD19,-3e-06,0.0
ALCD2y,0.0,0.0
ALDD20x,0.0,0.0
ALDD2x,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID3,0.0,0.0
AMPN,-2e-05,0.0
ANPRT,0.004502,0.004502
ANS,0.004502,0.004502
AOXSr,0.0,0.0
APRAUR,2.8e-05,2.8e-05
ARGDC,0.002527,0.002527
ARGDr,-1.9e-05,0.0
ARGN,-1.3e-05,0.0
ARGSL,0.017156,0.017175
ARGSS,0.017156,0.017175
ARGTRS,0.0,0.0
ARGabcpp,0.0,0.0
ARGtex,0.0,0.0
ASAD,-0.054117,-0.054117
ASNN,-1.3e-05,0.0
ASNS1,0.011769,0.011783
ASNTRS,0.0,0.0
ASP1DC,3.6e-05,3.6e-05
ASPCT,0.019695,0.019695
ASPK,0.054117,0.054117
ASPO6,0.000144,0.000144
ASPTA,-0.153926,-0.153908
ASPTRS,0.0,0.0
ATPPRT,0.005409,0.005409
ATPS4rpp_1,1.183566,0.0
ATPSu,0.0,0.0
BAMPPALDOX,0.0,0.0
BCAROHX,0.000183,0.000183
BCAROHX2,0.000183,0.000183
BCAROKE,0.000159,0.000159
BCT1_syn,0.0,0.0
BILIRED,0.0,0.0
BIOMASS_Ec_SynAuto,-0.0,0.0
BIOMASS_Ec_SynHetero,0.06315,0.06315
BIOMASS_Ec_SynMixo,-0.0,0.0
BPNT,0.011742,0.011743
BTS4,0.0,0.0
CA2abcpp,0.000285,0.000285
CA2t3pp,-3.2e-05,0.0
CA2tex,0.000285,0.000285
CAT,0.009909,0.009919
CBFC2,1.976898,0.0
CBFC2pp,0.0,0.0
CBFCpp,0.038672,0.0
CBFCu,0.0,0.0
CBMKr,0.036869,0.036889
CBPS,0.0,0.0
CDPMEK,0.011305,0.011305
CHORM,0.020177,0.020177
CHORS,0.024853,0.024853
CHPHYS,0.001338,0.001338
CITt_kt,0.0,0.0
CITtex,0.0,2e-06
CO2tex,-2.535148,-2.535135
CO2tpp,-2.535148,-2.535135
COBALT2abcpp,0.0,0.0
COBALT2tex,0.000205,0.000205
COCHL,1.4e-05,1.4e-05
COt_1,0.0,0.0
CPPPGO,0.00138,0.00138
CPPPGO2,0.0,0.0
CS,0.524653,0.524778
CSND,0.0,0.0
CTPS1,0.009354,0.009393
CTPS2,0.0,0.0
CU2abcu_syn,0.0,0.0
CU2tex,0.00019,0.00019
CUabcpp,0.00019,0.00019
CYNTAH,0.0,0.0
CYNTt2pp,0.0,0.0
CYNTtex,0.0,0.0
CYO1b2_syn,0.0,0.0
CYO1b2pp_syn,0.038672,0.0
CYO1b_syn,1.976878,0.0
CYO1bpp_syn,0.0,0.0
